### Oracle tables with their properties and relationship:
#
# Databse tables 

# OE_ORDER_HEADERS_ALL stores header information for orders in Order Management.
# OE_ORDER_LINES_ALL stores information for all order lines in Oracle Order Management.

# Below is the column name and description of each column of oe_order_headers_all
#Column_Name	Column_Description
SCHEDULE_SHIP_DATE	Date Scheduled to ship item
SCHEDULE_STATUS_CODE	Indicates if the line is scheduled
SERVICE_BILL_OPTION_CODE	Stores the Serivce Billing Option Code that specifies how the Service Lines should be billed, should they be billed completly from Order Management, completely from Service Contracts, or first period from OM and subsequent periods from Service Contracts
SERVICE_BILL_PROFILE_ID	Stores the Billing Profile value for Service Lines
SERVICE_COTERMINATE_FLAG	To identify whether the service can be coterminated.
SERVICE_COV_TEMPLATE_ID	Stores Service Coverage Template ID for Extended Warranty Lines
SERVICE_CREDIT_ELIGIBLE_CODE	Flag to indicate whether a return of service is eligible for credit.
SERVICE_DURATION	Internal use only
SERVICE_END_DATE	Internal use only
SERVICE_FIRST_PERIOD_AMOUNT	Stores the value for which the Service Line would get billed from Order Management in case of first period billing from Order Management
SERVICE_FIRST_PERIOD_ENDDATE	Stores First Period Bill End Date when Service Lines are partially Billed from OM
SERVICE_NUMBER	Unique number to identify the service lines.
SERVICE_PERIOD	Period for which service is offered.
SERVICE_REFERENCE_LINE_ID	Identifies the immediate parent line to which the service is attached.
SERVICE_REFERENCE_SYSTEM_ID	To store system id for either reference type like order or customer product.
SERVICE_REFERENCE_TYPE_CODE	To identify the service reference type. Typical values are Order and Customer Product
SERVICE_START_DATE	Start date for the service
SERVICE_SUBS_TEMPLATE_ID	Stores Subscription Template ID for Subscription Service Lines
SERVICE_TXN_COMMENTS	Placeholder for service comments.
SERVICE_TXN_REASON_CODE	To store service transaction reason.
SHIP_FROM_ORG_ID	Ship from organization id -warehouse
SHIP_MODEL_COMPLETE_FLAG	Indicates whether line is in ship-complete configuration
SHIP_SET_ID	Ship Set Id; if the line belongs to a ship set
SHIP_TO_CONTACT_ID	Person to which line is to be shipped
SHIP_TO_ORG_ID	Ship to Organization Id
SHIP_TOLERANCE_ABOVE	Over Shipment/Return Tolerance
SHIP_TOLERANCE_BELOW	Under Shipment/Return Tolerance
SHIPMENT_NUMBER	System generated identifer of a shipment within a line
SHIPMENT_PRIORITY_CODE	Shipment Priority Code
SHIPPABLE_FLAG	A flag to indicate whether a line is shippale or not.
SHIPPED_QUANTITY	Shipped Quantity
SHIPPED_QUANTITY2	Shipped quantity in ordered_quantity_uom2
SHIPPING_INSTRUCTIONS	Shipping Instructions for Line
SHIPPING_INTERFACED_FLAG	Shipping Interfaced Flag to indicate whether a line has been interfaced to shipping or not
SHIPPING_METHOD_CODE	Shipping method
SHIPPING_QUANTITY	Shipping Quantity
SHIPPING_QUANTITY2	Shipping quantity in secondary shipping unit of measure
SHIPPING_QUANTITY_UOM	Shipping Quantity UOM
SHIPPING_QUANTITY_UOM2	Secondary unit of measure the item is shipped
SOLD_FROM_ORG_ID	Selling organization
SOLD_TO_ORG_ID	Customer to whom the item is sold to
SORT_ORDER	Sorting sequence for a component within ordered bill
SOURCE_DOCUMENT_ID	Source Order Header Id
SOURCE_DOCUMENT_LINE_ID	Source Order Line Id
SOURCE_DOCUMENT_TYPE_ID	Indicates the source of the order
SOURCE_DOCUMENT_VERSION_NUMBER	Internal Use Only.
SOURCE_TYPE_CODE	Sourcing indicator (internal or external)
SPLIT_BY	Indicates whether the line is system or user level split
SPLIT_FROM_LINE_ID	System generated identifier of original line which was split
SUBINVENTORY	Subinventory
SUBSCRIPTION_ENABLE_FLAG	Stores a value of either 'Y' or 'N' to indicate if the Line has to be treated as Subscription Service Line or a Standard Line
TASK_ID	Task associated with this transaction
TAX_CODE	Tax code for the line
TAX_DATE	It will store the date for tax calculation
TAX_EXEMPT_FLAG	It will decide the tax handling for the order line. Possible values can be S - Standard, E - Exempt, R - Required
TAX_EXEMPT_NUMBER	The Tax exemption Number
TAX_EXEMPT_REASON_CODE	The reason code for Tax exemption
TAX_LINE_VALUE	The Tax amount in order currency, excluding the tax on Freight Charges if any
TAX_POINT_CODE	For Future release
TAX_RATE	The tax rate in percentage
TAX_VALUE	The Tax amount in order currency, including the tax on Freight Charges if any
TOP_MODEL_LINE_ID	System-generated identifier of configuration top parent line
TP_ATTRIBUTE1	Descriptive Flexfield segment
TP_ATTRIBUTE10	Descriptive Flexfield segment
TP_ATTRIBUTE11	Descriptive Flexfield segment
TP_ATTRIBUTE12	Descriptive Flexfield segment
TP_ATTRIBUTE13	Descriptive Flexfield segment
TP_ATTRIBUTE14	Descriptive Flexfield segment
TP_ATTRIBUTE15	Descriptive Flexfield segment
TP_ATTRIBUTE2	Descriptive Flexfield segment
TP_ATTRIBUTE3	Descriptive Flexfield segment
TP_ATTRIBUTE4	Descriptive Flexfield segment
TP_ATTRIBUTE5	Descriptive Flexfield segment
TP_ATTRIBUTE6	Descriptive Flexfield segment
TP_ATTRIBUTE7	Descriptive Flexfield segment
TP_ATTRIBUTE8	Descriptive Flexfield segment
TP_ATTRIBUTE9	Descriptive Flexfield segment
TP_CONTEXT	Descriptive Flexfield segment
TRANSACTION_PHASE_CODE	Indicates if Transaction is in negotitation or fulfillment phase
UNIT_COST	Unit Cost for the gross margin analysis
UNIT_LIST_PERCENT	Price list percent of the item (percent-based pricing only)
UNIT_LIST_PRICE	Price List price for the item
UNIT_LIST_PRICE_PER_PQTY	Unit list price per pricing quantity.
UNIT_PERCENT_BASE_PRICE	Based price used for percent based pricing
UNIT_SELLING_PERCENT	Percent actually charged to customer (percent based pricing only)
UNIT_SELLING_PRICE	Actual price chaged to customer
UNIT_SELLING_PRICE_PER_PQTY	Unit selling price per pricing quantity.
UPGRADED_FLAG	Denotes if this column is upgraded into R11i or is newly created in R11i version.
USER_ITEM_DESCRIPTION	To store user entered item description.
VEH_CUS_ITEM_CUM_KEY_ID	Customer Item cum key unique identifier. Updated at the time of shipment.
VISIBLE_DEMAND_FLAG	Indicated line is visible to planning as demand


# 
# Below are the relation between the tables relation are provided  like table.column
# oe_order_headers_all.header_id = oe_order_lines_all.header_id

### A SQL query to find {{$input}}. Please provide only one SQL query and nothing else in a single string. Do not prompt anything else apart from the sql query.
User: Can I get the last month created order'?
Assistant: SELECT ooha.order_number FROM oe_order_headers_all ooha WHERE ooha.creation_date > (SYSDATE - 30)
User: Can I get the booked date for order number'?
Assistant: SELECT ooha.order_number, ooha.booked_date FROM oe_order_headers_all ooha Where ooha.order_number = ;
User: Can I get the number of lines for order'?
Assistant: SELECT count(1) FROM oe_order_headers_all ooha, oe_order_lines_all oola Where oola.header_id = ooha.header_id AND ooha.order_number = ;
User: tell me the last shipped order
Assistant: SELECT order_number FROM (SELECT ooha.order_number, oola.actual_shipment_date 
FROM oe_order_headers_all ooha, oe_order_lines_all oola 
WHERE ooha.header_id = oola.header_id 
AND oola.shipped_quantity > 0 
AND oola.actual_shipment_date IS NOT NULL
ORDER BY oola.actual_shipment_date DESC) WHERE ROWNUM = 1;
User: {{$input}}
Assistant:


